Acer Campestre,0.003906,0.003906,0.027344,0.033203,0.007812,0.017578,0.023438
Acer Campestre,0.005859,0.013672,0.027344,0.025391,0.013672,0.029297,0.019531
Acer Campestre,0.011719,0.001953,0.027344,0.044922,0.017578,0.042969,0.023438
Acer Campestre,0.013672,0.011719,0.037109,0.017578,0.011719,0.087891,0.023438
Acer Campestre,0.007812,0.009766,0.027344,0.025391,0.001953,0.005859,0.015625
Acer Campestre,0.015625,0.003906,0.015625,0.046875,0.013672,0.064453,0.017578
Acer Campestre,0.007812,0.031250,0.048828,0.015625,0.005859,0.013672,0.031250
Acer Campestre,0.023438,0.013672,0.039062,0.015625,0.025391,0.025391,0.023438
Acer Campestre,0.007812,0.013672,0.029297,0.021484,0.009766,0.031250,0.015625
Acer Campestre,0.019531,0.009766,0.023438,0.031250,0.021484,0.054688,0.025391
Acer Campestre,0.005859,0.021484,0.035156,0.015625,0.005859,0.005859,0.025391
Acer Campestre,0.023438,0.027344,0.007812,0.017578,0.005859,0.011719,0.021484
Acer Campestre,0.017578,0.041016,0.017578,0.005859,0.003906,0.027344,0.017578
Acer Campestre,0.015625,0.009766,0.025391,0.027344,0.001953,0.001953,0.011719
Acer Campestre,0.009766,0.021484,0.019531,0.027344,0.003906,0.025391,0.023438
Acer Campestre,0.017578,0.011719,0.023438,0.019531,0.003906,0.011719,0.015625
Quercus Canariensis,0.007812,0.005859,0.011719,0.003906,0.013672,0.013672,0.041016
Quercus Canariensis,0.005859,0.009766,0.019531,0.005859,0.007812,0.001953,0.025391
Quercus Canariensis,0.021484,0.031250,0.017578,0.009766,0.001953,0.042969,0.039062
Quercus Canariensis,0.025391,0.017578,0.023438,0.007812,0.003906,0.011719,0.015625
Quercus Canariensis,0.007812,0.017578,0.023438,0.011719,0.003906,0.007812,0.013672
Quercus Canariensis,0.007812,0.001953,0.013672,0.015625,0.009766,0.005859,0.021484
Quercus Canariensis,0.009766,0.007812,0.019531,0.005859,0.003906,0.023438,0.019531
Quercus Canariensis,0.013672,0.023438,0.019531,0.011719,0.003906,0.015625,0.023438
Quercus Canariensis,0.011719,0.011719,0.005859,0.011719,0.005859,0.009766,0.027344
Quercus Canariensis,0.003906,0.013672,0.013672,0.021484,0.005859,0.009766,0.015625
Quercus Canariensis,0.017578,0.029297,0.015625,0.013672,0.003906,0.015625,0.025391
Quercus Canariensis,0.001953,0.025391,0.009766,0.007812,0.005859,0.007812,0.027344
Quercus Canariensis,0.011719,0.033203,0.017578,0.007812,0.003906,0.021484,0.029297
Quercus Canariensis,0.015625,0.015625,0.011719,0.017578,0.005859,0.017578,0.011719
Quercus Canariensis,0.011719,0.013672,0.017578,0.007812,0.007812,0.005859,0.019531
Quercus Canariensis,0.019531,0.013672,0.019531,0.009766,0.003906,0.025391,0.035156
